k E
0.1919 -10.9173
0.1978 -10.9031
0.2038 -10.8864
0.2097 -10.8677
0.2157 -10.8473
0.2216 -10.8259
0.2275 -10.8038
0.2335 -10.7818
0.2394 -10.7602
0.2454 -10.7396
0.2513 -10.7205
0.2573 -10.7035
0.2632 -10.6889
0.2691 -10.6772
0.2751 -10.6686
0.2810 -10.6633
0.2870 -10.6615
0.2943 -10.6633
0.3015 -10.6685
0.3088 -10.6771
0.3161 -10.6888
0.3234 -10.7032
0.3306 -10.7201
0.3379 -10.7390
0.3452 -10.7594
0.3525 -10.7807
0.3598 -10.8025
0.3670 -10.8243
0.3743 -10.8454
0.3816 -10.8654
0.3889 -10.8839
0.3962 -10.9003
0.4034 -10.9143
0.4107 -10.9255
0.4180 -10.9337
0.4253 -10.9387
0.4326 -10.9404
0.4385 -10.9405
0.4444 -10.9406
0.4504 -10.9408
0.4563 -10.9411
0.4623 -10.9414
0.4682 -10.9417
0.4742 -10.9421
0.4801 -10.9424
0.4860 -10.9427
0.4920 -10.9429
0.4979 -10.9431
0.5039 -10.9432
0.5098 -10.9433
0.5158 -10.9434
0.5217 -10.9434
0.5277 -10.9434
0.5336 -10.9433
0.5395 -10.9433
0.5455 -10.9433
0.5514 -10.9433

0.0000 -10.6615
0.0042 -10.6615
0.0084 -10.6615
0.0126 -10.6614
0.0168 -10.6614
0.0210 -10.6613
0.0252 -10.6612
0.0294 -10.6611
0.0336 -10.6610
0.0378 -10.6609
0.0420 -10.6608
0.0462 -10.6607
0.0504 -10.6605
0.0546 -10.6604
0.0588 -10.6603
0.0630 -10.6602
0.0672 -10.6601
0.0714 -10.6601
0.0756 -10.6600
0.0799 -10.6600
0.0841 -10.6600
0.0883 -10.6609
0.0925 -10.6635
0.0967 -10.6679
0.1009 -10.6739
0.1051 -10.6815
0.1093 -10.6907
0.1135 -10.7014
0.1177 -10.7133
0.1219 -10.7265
0.1261 -10.7408
0.1303 -10.7560
0.1345 -10.7720
0.1387 -10.7885
0.1429 -10.8055
0.1471 -10.8226
0.1513 -10.8397
0.1555 -10.8562
0.1597 -10.8714
0.1639 -10.8836
0.1681 -10.8888
0.1740 -10.8794
0.1800 -10.8605
0.1859 -10.8399
0.1919 -10.8195
0.1978 -10.7999
0.2038 -10.7815
0.2097 -10.7644
0.2157 -10.7487
0.2216 -10.7343
0.2275 -10.7213
0.2335 -10.7097
0.2394 -10.6994
0.2454 -10.6904
0.2513 -10.6826
0.2573 -10.6761
0.2632 -10.6708
0.2691 -10.6668
0.2751 -10.6638
0.2810 -10.6621
0.2870 -10.6615
0.2943 -10.6633
0.3015 -10.6685
0.3088 -10.6771
0.3161 -10.6888
0.3234 -10.7032
0.3306 -10.7201
0.3379 -10.7390
0.3452 -10.7594
0.3525 -10.7807
0.3598 -10.8025
0.3670 -10.8243
0.3743 -10.8454
0.3816 -10.8654
0.3889 -10.8839
0.3962 -10.9003
0.4034 -10.9143
0.4107 -10.9255
0.4180 -10.9337
0.4253 -10.9387
0.4326 -10.9404
0.4385 -10.9387
0.4444 -10.9336
0.4504 -10.9253
0.4563 -10.9140
0.4623 -10.8998
0.4682 -10.8832
0.4742 -10.8646
0.4801 -10.8444
0.4860 -10.8231
0.4920 -10.8012
0.4979 -10.7793
0.5039 -10.7579
0.5098 -10.7374
0.5158 -10.7185
0.5217 -10.7016
0.5277 -10.6872
0.5336 -10.6755
0.5395 -10.6670
0.5455 -10.6618
0.5514 -10.6600

0.0000 -4.8995
0.0042 -4.8993
0.0084 -4.8991
0.0126 -4.8990
0.0168 -4.8987
0.0210 -4.8985
0.0252 -4.8979
0.0294 -4.8974
0.0336 -4.8966
0.0378 -4.8963
0.0420 -4.8957
0.0462 -4.8953
0.0504 -4.8946
0.0546 -4.8944
0.0588 -4.8938
0.0630 -4.8933
0.0672 -4.8927
0.0714 -4.8924
0.0756 -4.8922
0.0799 -4.8923
0.0841 -4.8921
0.0883 -4.8923
0.0925 -4.8926
0.0967 -4.8931
0.1009 -4.8937
0.1051 -4.8947
0.1093 -4.8957
0.1135 -4.8970
0.1177 -4.8981
0.1219 -4.8994
0.1261 -4.9008
0.1303 -4.9021
0.1345 -4.9035
0.1387 -4.9047
0.1429 -4.9057
0.1471 -4.9067
0.1513 -4.9076
0.1555 -4.9104
0.1597 -4.9237
0.1639 -4.9321
0.1681 -4.9349
0.1740 -4.9293
0.1800 -4.9126
0.1859 -4.9087
0.1919 -4.9081
0.1978 -4.9073
0.2038 -4.9066
0.2097 -4.9058
0.2157 -4.9053
0.2216 -4.9044
0.2275 -4.9034
0.2335 -4.9028
0.2394 -4.9019
0.2454 -4.9013
0.2513 -4.9009
0.2573 -4.9004
0.2632 -4.9001
0.2691 -4.8998
0.2751 -4.8995
0.2810 -4.8994
0.2870 -4.8995
0.2943 -4.8994
0.3015 -4.8994
0.3088 -4.8994
0.3161 -4.8992
0.3234 -4.8997
0.3306 -4.9002
0.3379 -4.9014
0.3452 -4.9026
0.3525 -4.9043
0.3598 -4.9062
0.3670 -4.9088
0.3743 -4.9819
0.3816 -5.0908
0.3889 -5.1884
0.3962 -5.2733
0.4034 -5.3445
0.4107 -5.4009
0.4180 -5.4418
